NAMESPACE           NAME                                 DISPLAY NAME                                QUERY                                                                                                                                                                                                                                                                      AGE
aegis-airflow       aegis-airflow-dag-import-errors      Aegis Airflow DAG Import Errors             max(airflow_dag_processing_import_errors)                                                                                                                                                                                                                                  2d14h
aegis-airflow       aegis-airflow-postgres-unavailable   Aegis Airflow PostgreSQL Unavailable        max(pg_up{aegis_component="airflow-postgres"})                                                                                                                                                                                                                             2d14h
aegis-airflow       aegis-airflow-scheduler-missing      Aegis Airflow Scheduler Heartbeat Missing   sum(increase(airflow_scheduler_heartbeat[5m])) or vector(0)                                                                                                                                                                                                                2d14h
aegis-data          aegis-minio-capacity-high            Aegis MinIO Capacity High                   100 * (1 - max(minio_cluster_capacity_usable_free_bytes{aegis_component="minio"}) / clamp_min(max(minio_cluster_capacity_usable_total_bytes{aegis_component="minio"}), 1))                                                                                                 2d14h
aegis-data          aegis-minio-unhealthy                Aegis MinIO Cluster Unhealthy               min(minio_cluster_health_status{aegis_component="minio"})                                                                                                                                                                                                                  2d14h
aegis-ml            aegis-mlflow-postgres-unavailable    Aegis MLflow PostgreSQL Unavailable         max(pg_up{aegis_component="mlflow-postgres"})                                                                                                                                                                                                                              2d14h
aegis-ml            aegis-mlflow-unavailable             Aegis MLflow Unavailable                    max(mlflow_exporter_info)                                                                                                                                                                                                                                                  2d14h
aegis-monitoring    aegis-pod-restarts                   Aegis Repeated Pod Restarts                 sum(increase(kube_pod_container_status_restarts_total{namespace=~"aegis-.*"}[15m]))                                                                                                                                                                                        2d14h
aegis-serving-dev   aegis-inference-high-failure-rate    Aegis Inference Failure Rate High           100 * sum(rate(model_infer_request_failure_total{model="aegis-fraud-baseline"}[5m])) / clamp_min(sum(rate(model_infer_request_success_total{model="aegis-fraud-baseline"}[5m])) + sum(rate(model_infer_request_failure_total{model="aegis-fraud-baseline"}[5m])), 0.001)   2d14h
aegis-serving-dev   aegis-inference-high-latency         Aegis Inference P95 Latency High            histogram_quantile(0.95, sum by (le) (rate(rest_server_request_duration_seconds_bucket{method="POST"}[5m])))                                                                                                                                                               2d14h
aegis-serving-dev   aegis-predictor-unavailable          Aegis Predictor Unavailable                 max(up{service="aegis-fraud-baseline-metrics"})                                                                                                                                                                                                                            2d14h
