NAMESPACE            NAME                                             POD-SELECTOR                                                              AGE
aegis-airflow        aegis-allow-airflow-internal                     <none>                                                                    11d
aegis-airflow        aegis-allow-metoro-to-airflow-metrics            component=statsd,release=aegis-airflow-airflow,tier=airflow               2d23h
aegis-airflow        aegis-allow-metoro-to-airflow-postgres-metrics   app.kubernetes.io/name=airflow-postgres-exporter                          2d23h
aegis-airflow        aegis-allow-traefik-to-airflow                   component=api-server,release=aegis-airflow-airflow,tier=airflow           2d23h
aegis-airflow        aegis-default-deny-ingress                       <none>                                                                    22d
aegis-data           aegis-allow-airflow-to-minio                     app.kubernetes.io/name=minio                                              9d
aegis-data           aegis-allow-features-to-minio                    app.kubernetes.io/name=minio                                              4d1h
aegis-data           aegis-allow-metoro-to-minio-metrics              app.kubernetes.io/name=minio                                              3d
aegis-data           aegis-allow-minio-internal                       app.kubernetes.io/name=minio                                              17d
aegis-data           aegis-allow-ml-to-minio                          app.kubernetes.io/name=minio                                              11d
aegis-data           aegis-allow-phase6-feast-to-minio                app.kubernetes.io/name=minio                                              4d22h
aegis-data           aegis-allow-phase6-feature-builder-to-minio      app.kubernetes.io/name=minio                                              4d1h
aegis-data           aegis-allow-serving-dev-to-minio                 app.kubernetes.io/name=minio                                              3d20h
aegis-data           aegis-allow-traefik-to-minio-console             app.kubernetes.io/name=minio                                              2d23h
aegis-data           aegis-default-deny-ingress                       <none>                                                                    22d
aegis-features       aegis-default-deny-ingress                       <none>                                                                    22d
aegis-ml             aegis-allow-airflow-to-mlflow                    app.kubernetes.io/name=mlflow                                             9d
aegis-ml             aegis-allow-metoro-to-mlflow-metrics             app.kubernetes.io/name=mlflow                                             3d
aegis-ml             aegis-allow-metoro-to-mlflow-postgres-metrics    app.kubernetes.io/name=mlflow-postgres-exporter                           2d23h
aegis-ml             aegis-allow-mlflow-internal                      app.kubernetes.io/name=mlflow                                             12d
aegis-ml             aegis-allow-mlflow-postgres-exporter             app.kubernetes.io/name=mlflow-postgres                                    2d19h
aegis-ml             aegis-allow-mlflow-postgres-internal             app.kubernetes.io/name=mlflow-postgres                                    12d
aegis-ml             aegis-allow-traefik-to-mlflow                    app.kubernetes.io/name=mlflow                                             2d23h
aegis-ml             aegis-default-deny-ingress                       <none>                                                                    22d
aegis-monitoring     aegis-default-deny-ingress                       <none>                                                                    22d
aegis-security       aegis-default-deny-ingress                       <none>                                                                    22d
aegis-serving-dev    aegis-allow-metoro-mlserver-metrics              app=isvc.aegis-fraud-baseline-predictor                                   3d1h
aegis-serving-dev    aegis-allow-traefik-to-fraud-api                 app=isvc.aegis-fraud-baseline-predictor                                   2d23h
aegis-serving-dev    aegis-default-deny-ingress                       <none>                                                                    22d
aegis-serving-prod   aegis-default-deny-ingress                       <none>                                                                    22d
aegis-system         aegis-default-deny-ingress                       <none>                                                                    22d
