NAMESPACE                         NAME                                                              READY   STATUS                  RESTARTS        AGE     IP              NODE                             NOMINATED NODE   READINESS GATES
aegis-airflow                     aegis-airflow-airflow-api-server-b8b9bb597-qgg8t                  1/1     Running                 0               19h     192.168.8.94    dha-nkp-md-0-wwtj4-ntfg8-mgmd6   <none>           <none>
aegis-airflow                     aegis-airflow-airflow-dag-processor-bc8c4bbc5-mngzk               2/2     Running                 0               19h     192.168.5.209   dha-nkp-md-0-wwtj4-ntfg8-295mq   <none>           <none>
aegis-airflow                     aegis-airflow-airflow-postgresql-0                                1/1     Running                 0               10d     192.168.7.93    dha-nkp-md-0-wwtj4-ntfg8-dpbtm   <none>           <none>
aegis-airflow                     aegis-airflow-airflow-scheduler-78d5848f79-fn7cz                  2/2     Running                 0               19h     192.168.2.201   dha-nkp-md-0-wwtj4-ntfg8-9fptf   <none>           <none>
aegis-airflow                     aegis-airflow-airflow-statsd-5b559c9489-d45p6                     1/1     Running                 0               2d23h   192.168.2.113   dha-nkp-md-0-wwtj4-ntfg8-9fptf   <none>           <none>
aegis-airflow                     aegis-airflow-airflow-triggerer-7869c54c5c-9lldk                  2/2     Running                 0               19h     192.168.4.106   dha-nkp-md-0-wwtj4-ntfg8-4j7rt   <none>           <none>
aegis-airflow                     airflow-postgres-exporter-74ff79c96c-wj9wr                        1/1     Running                 0               2d23h   192.168.8.177   dha-nkp-md-0-wwtj4-ntfg8-mgmd6   <none>           <none>
aegis-airflow                     phase5-training-smoke-wmz2d                                       0/1     Completed               0               9d      192.168.3.128   dha-nkp-md-0-wwtj4-ntfg8-pnm7k   <none>           <none>
aegis-airflow                     phase8-airflow-metrics-check                                      0/1     Completed               0               2d23h   192.168.8.68    dha-nkp-md-0-wwtj4-ntfg8-mgmd6   <none>           <none>
aegis-airflow                     phase8-airflow-metrics-inventory                                  0/1     Completed               0               2d23h   192.168.8.40    dha-nkp-md-0-wwtj4-ntfg8-mgmd6   <none>           <none>
aegis-data                        minio-0                                                           1/1     Running                 0               3d      192.168.4.143   dha-nkp-md-0-wwtj4-ntfg8-4j7rt   <none>           <none>
aegis-data                        minio-1                                                           1/1     Running                 0               3d      192.168.7.101   dha-nkp-md-0-wwtj4-ntfg8-dpbtm   <none>           <none>
aegis-data                        minio-2                                                           1/1     Running                 0               3d      192.168.2.88    dha-nkp-md-0-wwtj4-ntfg8-9fptf   <none>           <none>
aegis-data                        minio-3                                                           1/1     Running                 0               3d      192.168.6.98    dha-nkp-md-0-wwtj4-ntfg8-rghcz   <none>           <none>
aegis-data                        phase6-feast-minio-iam-dh2gj                                      0/1     Completed               0               4d      192.168.2.199   dha-nkp-md-0-wwtj4-ntfg8-9fptf   <none>           <none>
aegis-data                        phase7-minio-iam                                                  0/1     Completed               0               3d20h   192.168.2.5     dha-nkp-md-0-wwtj4-ntfg8-9fptf   <none>           <none>
aegis-data                        phase8-drift-iam-v2-dt9xj                                         0/1     Completed               0               20h     192.168.4.195   dha-nkp-md-0-wwtj4-ntfg8-4j7rt   <none>           <none>
aegis-data                        phase8-drift-report-check                                         0/1     Error                   0               11h     192.168.5.107   dha-nkp-md-0-wwtj4-ntfg8-295mq   <none>           <none>
aegis-data                        phase8-minio-metrics-check                                        0/1     Completed               0               3d      192.168.2.5     dha-nkp-md-0-wwtj4-ntfg8-9fptf   <none>           <none>
aegis-features                    phase6-feast-apply-validate-5zmbd                                 0/1     Completed               0               4d1h    192.168.2.220   dha-nkp-md-0-wwtj4-ntfg8-9fptf   <none>           <none>
aegis-features                    phase6-feast-iam-validation-75kkz                                 0/1     Completed               0               4d      192.168.2.137   dha-nkp-md-0-wwtj4-ntfg8-9fptf   <none>           <none>
aegis-features                    phase6-feature-builder-hsnr4                                      0/1     Completed               0               4d1h    192.168.2.133   dha-nkp-md-0-wwtj4-ntfg8-9fptf   <none>           <none>
aegis-features                    phase6-minio-network-debug                                        0/1     Completed               0               4d19h   192.168.7.188   dha-nkp-md-0-wwtj4-ntfg8-dpbtm   <none>           <none>
aegis-ml                          mlflow-bdbc7b9ff-tqpbh                                            1/1     Running                 0               3d      192.168.1.203   dha-nkp-md-0-wwtj4-ntfg8-56fks   <none>           <none>
aegis-ml                          mlflow-postgres-0                                                 1/1     Running                 0               12d     192.168.4.189   dha-nkp-md-0-wwtj4-ntfg8-4j7rt   <none>           <none>
aegis-ml                          mlflow-postgres-exporter-6f5dcfd4f6-gqdwn                         1/1     Running                 0               2d20h   192.168.8.196   dha-nkp-md-0-wwtj4-ntfg8-mgmd6   <none>           <none>
aegis-security                    vault-0                                                           1/1     Running                 0               17d     192.168.4.215   dha-nkp-md-0-wwtj4-ntfg8-4j7rt   <none>           <none>
aegis-serving-dev                 aegis-fraud-baseline-predictor-77694d545b-xkmf7                   1/1     Running                 0               3d18h   192.168.2.102   dha-nkp-md-0-wwtj4-ntfg8-9fptf   <none>           <none>
