NAMESPACE                         NAME                                                              SECRETS   AGE
aegis-airflow                     aegis-airflow                                                     0         22d
aegis-airflow                     airflow-api-server                                                0         10d
aegis-airflow                     airflow-create-user-job                                           0         10d
aegis-airflow                     airflow-dag-processor                                             0         10d
aegis-airflow                     airflow-migrate-database-job                                      0         10d
aegis-airflow                     airflow-scheduler                                                 0         10d
aegis-airflow                     airflow-statsd                                                    0         2d23h
aegis-airflow                     airflow-triggerer                                                 0         10d
aegis-airflow                     airflow-worker                                                    0         10d
aegis-airflow                     default                                                           0         22d
aegis-data                        aegis-data-sa                                                     0         17d
aegis-data                        aegis-stream-processor                                            0         22d
aegis-data                        default                                                           0         22d
aegis-features                    aegis-feast                                                       0         22d
aegis-features                    aegis-valkey                                                      0         22d
aegis-features                    default                                                           0         22d
aegis-ml                          aegis-mlflow                                                      0         22d
aegis-ml                          aegis-training                                                    0         22d
aegis-ml                          default                                                           0         22d
aegis-monitoring                  aegis-monitoring-reader                                           0         22d
aegis-monitoring                  default                                                           0         22d
aegis-security                    default                                                           0         22d
aegis-security                    vault                                                             0         17d
aegis-serving-dev                 aegis-inference                                                   1         22d
aegis-serving-dev                 default                                                           0         22d
aegis-serving-prod                aegis-inference                                                   0         22d
aegis-serving-prod                default                                                           0         22d
aegis-system                      aegis-platform-admin                                              0         22d
aegis-system                      default                                                           0         22d
