NAMESPACE                     NAME                                                     AGE
aegis-airflow                 airflow-postgres                                         2d23h
aegis-airflow                 airflow-statsd                                           2d23h
aegis-data                    minio                                                    3d
aegis-ml                      mlflow                                                   3d
aegis-ml                      mlflow-postgres                                          2d23h
aegis-serving-dev             aegis-fraud-baseline                                     3d1h
kommander-default-workspace   dkp-service-monitor-api-v1-metrics-prometheus            23d
kommander-default-workspace   dkp-service-monitor-api-v1-metrics-prometheus-http-10s   23d
kommander-default-workspace   dkp-service-monitor-dkp-logging-grafana-metrics          23d
kommander-default-workspace   dkp-service-monitor-etcd-metrics                         23d
kommander-default-workspace   dkp-service-monitor-metrics                              23d
kommander-default-workspace   dkp-service-monitor-metrics-http                         23d
kommander-default-workspace   dkp-service-monitor-prometheus-metrics                   23d
kommander-default-workspace   gpu-operator                                             23d
kommander-default-workspace   kube-prometheus-stack-alertmanager                       23d
kommander-default-workspace   kube-prometheus-stack-apiserver                          23d
kommander-default-workspace   kube-prometheus-stack-coredns                            23d
kommander-default-workspace   kube-prometheus-stack-grafana                            23d
kommander-default-workspace   kube-prometheus-stack-kube-proxy                         23d
kommander-default-workspace   kube-prometheus-stack-kube-state-metrics                 23d
kommander-default-workspace   kube-prometheus-stack-kubelet                            23d
kommander-default-workspace   kube-prometheus-stack-operator                           23d
kommander-default-workspace   kube-prometheus-stack-prometheus                         23d
kommander-default-workspace   kube-prometheus-stack-prometheus-node-exporter           23d
kommander-default-workspace   nvidia-dcgm-exporter                                     23d
