NAMESPACE                     NAME                                                              TYPE           CLUSTER-IP       EXTERNAL-IP                                PORT(S)                                                    AGE     SELECTOR
aegis-airflow                 aegis-airflow-airflow-api-server                                  ClusterIP      10.96.117.141    <none>                                     8080/TCP                                                   10d     component=api-server,release=aegis-airflow-airflow,tier=airflow
aegis-airflow                 aegis-airflow-airflow-postgresql                                  ClusterIP      10.102.65.48     <none>                                     5432/TCP                                                   10d     app.kubernetes.io/component=primary,app.kubernetes.io/instance=aegis-airflow-airflow,app.kubernetes.io/name=postgresql
aegis-airflow                 aegis-airflow-airflow-postgresql-hl                               ClusterIP      None             <none>                                     5432/TCP                                                   10d     app.kubernetes.io/component=primary,app.kubernetes.io/instance=aegis-airflow-airflow,app.kubernetes.io/name=postgresql
aegis-airflow                 aegis-airflow-airflow-statsd                                      ClusterIP      10.102.117.155   <none>                                     9125/UDP,9102/TCP                                          2d23h   component=statsd,release=aegis-airflow-airflow,tier=airflow
aegis-airflow                 aegis-airflow-airflow-triggerer                                   ClusterIP      None             <none>                                     8794/TCP                                                   10d     component=triggerer,release=aegis-airflow-airflow,tier=airflow
aegis-airflow                 airflow-postgres-exporter                                         ClusterIP      10.110.214.103   <none>                                     9187/TCP                                                   2d23h   app.kubernetes.io/name=airflow-postgres-exporter
aegis-data                    minio                                                             ClusterIP      10.99.59.153     <none>                                     9000/TCP                                                   17d     app.kubernetes.io/name=minio
aegis-data                    minio-console                                                     ClusterIP      10.103.178.184   <none>                                     9001/TCP                                                   17d     app.kubernetes.io/name=minio
aegis-data                    minio-headless                                                    ClusterIP      None             <none>                                     9000/TCP,9001/TCP                                          17d     app.kubernetes.io/name=minio
aegis-ml                      mlflow                                                            ClusterIP      10.107.244.145   <none>                                     5000/TCP                                                   12d     app.kubernetes.io/name=mlflow
aegis-ml                      mlflow-postgres                                                   ClusterIP      10.110.245.178   <none>                                     5432/TCP                                                   12d     app.kubernetes.io/name=mlflow-postgres
aegis-ml                      mlflow-postgres-exporter                                          ClusterIP      10.111.116.86    <none>                                     9187/TCP                                                   2d23h   app.kubernetes.io/name=mlflow-postgres-exporter
aegis-security                vault                                                             ClusterIP      10.97.44.250     <none>                                     8200/TCP,8201/TCP                                          17d     app.kubernetes.io/instance=vault,app.kubernetes.io/name=vault,component=server
aegis-security                vault-internal                                                    ClusterIP      None             <none>                                     8200/TCP,8201/TCP                                          17d     app.kubernetes.io/instance=vault,app.kubernetes.io/name=vault,component=server
aegis-serving-dev             aegis-fraud-baseline-metrics                                      ClusterIP      10.111.202.223   <none>                                     8082/TCP                                                   3d1h    app=isvc.aegis-fraud-baseline-predictor
aegis-serving-dev             aegis-fraud-baseline-predictor                                    ClusterIP      10.97.244.148    <none>                                     80/TCP                                                     3d18h   app=isvc.aegis-fraud-baseline-predictor
